query_id,query,qid
2625,7月19日,Q2726
345,数论,Q12479
4150,儒家,Q9581
595,人口密度,Q22856
2818,田纳西·威廉斯,Q134262
752,4月1日,Q2510
2884,艾青,Q381194
3343,蓝胡子公爵的城堡,Q249749
4023,8月26日,Q2820
2546,“三个代表”重要思想,Q656448
4334,葛洪,Q553678
4485,爆竹,Q588748
4778,牛街礼拜寺,Q603256
5157,氮,Q627
5755,肯尼迪航天中心,Q48821
6356,黑海,Q166
6500,胡適,Q47667
7757,11月30日,Q3015
7486,克里斯托弗·哥伦布,Q7322
7988,愛德蒙多·德·亞米契斯,Q240576
7997,联合国安全理事会,Q37470
6398,10月31日,Q2949
9075,前16年,Q41232
9501,大萧条,Q8698
9563,崇基學院,Q1666729
9688,Tetsuya,Q306277
10120,12月30日,Q2901
10744,鳥山明,Q208582
9972,密度,Q29539
12271,授时历,Q11077930
12161,凯撒电影奖,Q174389
12587,直立人,Q101362
12939,106年,Q30941
13008,147年,Q33137
13022,159年,Q29976
13044,181年,Q31368
13166,283年,Q32054
13175,292年,Q32132
13220,333年,Q32007
13190,305年,Q33642
13189,304年,Q32149
13222,335年,Q32282
13948,520年,Q32902
13238,349年,Q32121
13256,365年,Q37140
13946,518年,Q30183
14022,590年,Q32710
14268,742年,Q23601
14285,760年,Q30552
14429,904年,Q30100
14393,868年,Q25061
14608,1083年,Q19455
14413,888年,Q29956
14680,1158年,Q19656
14812,1291年,Q5554
14769,1249年,Q5485
14560,1034年,Q19324
14882,1359年,Q6143
14974,1455年,Q6480
15048,1524年,Q6309
15164,1640年,Q6901
15184,1660年,Q7001
17402,实数,Q12916
17654,信息技术,Q11661
17825,電腦檔案,Q82753
18684,草海,Q1930897
18870,吠陀宗教,Q889766
20251,鼻烟壶,Q1321480
20335,夏雨,Q697237
20565,小熊維尼,Q188574
18858,盘古,Q245395
20602,费雯·丽,Q129429
20635,蒙蒂·琼斯,Q832747
20791,戛纳电影节,Q42369
21024,水力帝国,Q1366407
21562,材料力学,Q240553
22146,元搜索引擎,Q114106
22730,道藏,Q1141990
23449,72,Q243817
24197,葛丽泰·嘉宝,Q5443
21674,编码,Q4994879
24272,出版学,Q10896657
24416,伍乔,Q9385286
24927,鸠鸽科,Q10856
24937,仓鸮,Q25317
24995,5月16日,Q2574
25295,周慧敏,Q2673694
26092,渔家傲,Q17038647
26011,分钟,Q7727
26255,牛津大学,Q34433
25413,東方魅力,Q7600699
26477,光速,Q2111
25170,彼得·杰克逊,Q4465
27038,內科學,Q11180
26590,近視,Q168403
27985,努尔苏丹·纳扎尔巴耶夫,Q57394
30960,剑经,Q10899177
30968,卸骨术,Q10910810
31145,网景导航者,Q235419
31112,金星凌日,Q185203
31217,1958年,Q5253
31290,爱尔兰岛,Q22890
31518,爆肚,Q10404947
31734,九份,Q31093
32873,胭脂扣,Q834800
33507,第二次中东战争,Q49101
33763,绵阳市,Q426130
