item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
Q381194,艾青,,Ai Qing,中国诗人（1910－1996）,,Chinese poet (1910-1996)
Q656448,“三个代表”重要思想,,Theory of Three Represents,以江泽民为核心的中共领导层提出的政治理念,,Political ideology formulated by Jiang Zemin
Q2726,7月19日,19 шілде,July 19,日期,,date
Q588748,爆竹,,firecracker,,,small explosive device primarily designed to make noise
Q553678,葛洪,,Ge Hong,,,4th century Chinese scholar and philosopher
Q22856,人口密度,Жұрт тығыздығы,population density,人口学概念,,measurement of population per unit area or unit volume
Q2820,8月26日,26 тамыз,August 26,日期,,day of the year
Q603256,牛街礼拜寺,,Niujie Mosque,中國北京市的清真寺,,mosque in Beijing
Q249749,蓝胡子公爵的城堡,,Bluebeard's Castle,巴托克·贝拉1918年歌剧,,opera by Béla Bartók
Q2510,4月1日,1 сәуір,April 1,日期,,day of the year
Q9581,儒家,Конфуцийшілдік,Confucianism,諸子百家之一,,Chinese ethical and philosophical system
Q48821,肯尼迪航天中心,,Kennedy Space Center,美國太空發射場,,United States space launch site in Florida
Q12479,数论,сандар теориясы,number theory,純數學的一個分支主要致力於整數的研究,,branch of pure mathematics devoted primarily to the study of the integers
Q134262,田纳西·威廉斯,,Tennessee Williams,美国剧作家（1911—1983）,,American playwright (1911–1983)
Q627,氮,Азот,nitrogen,原子序為7的化學元素,,"chemical element, symbol N and atomic number 7; most abundant element in Earth atmosphere"
Q166,黑海,Қара теңіз,Black Sea,陸間海,,sea between Europe and Asia
Q306277,Tetsuya,,Tetsuya,,,Japanese musician
Q1666729,崇基學院,,Chung Chi College,香港中文大學一所書院,,college of Chinese University of Hong Kong
Q8698,大萧条,Ұлы тоқырау,Great Depression,20世紀前期的全球經濟危機,1929-1939 жылдардағы әлемдік экономикалық дағдарыс,worldwide economic depression (1929–1939)
Q174389,凯撒电影奖,Сезар марапаты,César Award,法国电影奖项,,French film award
Q2949,10月31日,31 қазан,October 31,日期,,date
Q101362,直立人,Һомо Еректус,Homo erectus,哺乳动物物种,,species of archaic humans believed to be extinct in a pure form
Q11077930,授时历,,Shòushí calendar,元代郭守敬、王恂、许衡等人创制的一种历法,,Chinese calendar system from the Yuan dynasty
Q7322,克里斯托弗·哥伦布,Христофор Колумб,Christopher Columbus,探險家、航海家和殖民者,,"Italian navigator, explorer, and colonist (1451–1506)"
Q47667,胡適,Ху Ши,Hu Shih,中國學者，新文化運動的領袖之一,,"Chinese philosopher, essayist and diplomate"
Q240576,愛德蒙多·德·亞米契斯,,Edmondo de Amicis,,,Italian writer (1846-1908)
Q3015,11月30日,30 қараша,November 30,日期,,day of the year
Q41232,前16年,Б. з. д. 16 жыл,16 BC,年,,year
Q29539,密度,тығыздық,mass density,单位,,"mass of a sample, material or body divided by its volume"
Q2901,12月30日,30 желтоқсан,December 30,日期,,day of the year
Q37470,联合国安全理事会,Біріккен Ұлттар Ұйымының Қауіпсіздік Кеңесі,United Nations Security Council,聯合國的六大主要機構之一，負責維護國際和平與安全,,"one of the six principal organs of the UN, charged with the maintenance of international peace and security"
Q208582,鳥山明,,Akira Toriyama,日本漫畫家,,Japanese manga artist and character designer (1955–2024)
Q30941,106年,106 жыл,106,年,,year
Q33137,147年,147 жыл,147,年份,,year
Q31368,181年,181 жыл,181,年份,,year
Q29976,159年,159 жыл,159,年份,,year
Q32007,333年,333 жыл,333,年份,,year
Q32054,283年,283 жыл,283,年份,,year
Q32132,292年,292 жыл,292,年份,,year
Q33642,305年,305 жыл,305,年,,year
Q32282,335年,335 жыл,335,年份,,year
Q32121,349年,349 жыл,349,年份,,year
Q32902,520年,520 жыл,520,年份,,year
Q37140,365年,365 жыл,365,年份,,year
Q32710,590年,590 жыл,590,年份,,year
Q30183,518年,518 жыл,518,年份,,year
Q32149,304年,304 жыл,304,年,,year
Q30552,760年,760 жыл,760,年份,,year
Q23601,742年,742 жыл,742,年份,,year
Q30100,904年,904 жыл,904,年,,year
Q25061,868年,868 жыл,868,年份,,year
Q19455,1083年,1083 жыл,1083,年,,year
Q29956,888年,888 жыл,888,年份,,year
Q5554,1291年,1291 жыл,1291,年份,,calendar year
Q19324,1034年,1034 жыл,1034,年,,year
Q6480,1455年,1455 жыл,1455,年,,year
Q6309,1524年,1524 жыл,1524,年,,year
Q5485,1249年,1249 жыл,1249,年份,,year
Q19656,1158年,1158 жыл,1158,年份,,year
Q7001,1660年,1660 жыл,1660,年份,,year
Q12916,实数,нақты сан,real number,沿連續線的數量,,quantity along a continuous line
Q6143,1359年,1359 жыл,1359,年,,year
