query_id,item_qid,property_qid,adj_item_qid
3116495,Q1000344,P1001,Q65186785
3116495,Q1000344,P1001,Q65480598
3116495,Q1000344,P1001,Q105012865
3116495,Q1000344,P1001,Q118830260
3116495,Q1000344,P131,Q286002
3116495,Q1000344,P131,Q120274391
3116495,Q1000344,P131,Q119306327
3116495,Q1000344,P131,Q701309
3116495,Q1000344,P131,Q119632046
3116495,Q1000344,P1313,Q65186785
3116495,Q1000344,P150,Q286002
3116495,Q1000344,P159,Q92882238
3116495,Q1000344,P159,Q92901905
3116495,Q1000344,P159,Q105012865
3116495,Q1000344,P159,Q118830260
3116495,Q1000344,P17,Q142
3116495,Q1000344,P31,Q484170
3116495,Q1000344,P421,Q6655
3116495,Q1000344,P421,Q6723
3116495,Q1000344,P47,Q584086
3116495,Q1000344,P47,Q272283
3116495,Q1000344,P47,Q273994
3116495,Q1000344,P47,Q272765
3116495,Q1000344,P47,Q266740
3116495,Q1000344,P7867,Q123059564
3116495,Q1000344,P7938,Q18215093
3116495,Q1000344,P8138,Q108921370
3116495,Q1000344,P971,Q123059564
3030780,Q100081,P131,Q18440863
3030780,Q100081,P131,Q107847094
3030780,Q100081,P131,Q30028269
3030780,Q100081,P131,Q106046574
3030780,Q100081,P131,Q106046569
3030780,Q100081,P1376,Q30028269
3030780,Q100081,P138,Q16268802
3030780,Q100081,P1464,Q18754128
3030780,Q100081,P150,Q16209
3030780,Q100081,P17,Q38
3030780,Q100081,P19,Q18649460
3030780,Q100081,P19,Q106717591
3030780,Q100081,P19,Q1320048
3030780,Q100081,P19,Q66103197
3030780,Q100081,P19,Q12805217
3030780,Q100081,P20,Q66372539
3030780,Q100081,P301,Q21748624
3030780,Q100081,P31,Q747074
3030780,Q100081,P36,Q30028269
3030780,Q100081,P417,Q45581
3030780,Q100081,P421,Q6655
3030780,Q100081,P421,Q6723
3030780,Q100081,P47,Q111270
3030780,Q100081,P47,Q100041
3030780,Q100081,P47,Q100048
3030780,Q100081,P47,Q100046
3030780,Q100081,P47,Q42894
3030780,Q100081,P910,Q21748624
3030780,Q100081,P9235,Q106435261
3030780,Q100081,P971,Q18754128
2879016,Q1001522,P131,Q61296597
2879016,Q1001522,P131,Q61308023
2879016,Q1001522,P131,Q6982543
2879016,Q1001522,P131,Q5400348
2879016,Q1001522,P131,Q6156792
2879016,Q1001522,P1376,Q6982543
2879016,Q1001522,P138,Q3014903
2879016,Q1001522,P17,Q96
2879016,Q1001522,P1792,Q8743459
2879016,Q1001522,P19,Q30905028
2879016,Q1001522,P19,Q5515322
2879016,Q1001522,P19,Q6081032
2879016,Q1001522,P19,Q124288815
2879016,Q1001522,P19,Q115470727
2879016,Q1001522,P20,Q119683162
2879016,Q1001522,P20,Q124413690
2879016,Q1001522,P20,Q5976786
2879016,Q1001522,P276,Q5400348
2879016,Q1001522,P31,Q515
2879016,Q1001522,P31,Q1549591
2879016,Q1001522,P31,Q20202352
2879016,Q1001522,P36,Q6982543
2879016,Q1001522,P421,Q2212
2879016,Q1001522,P740,Q104919331
2879016,Q1001522,P931,Q3014903
2879016,Q1001522,P971,Q8743459
4467704,Q1002115,P119,Q84939096
4467704,Q1002115,P131,Q38788249
4467704,Q1002115,P131,Q6548914
4467704,Q1002115,P131,Q3403977
4467704,Q1002115,P131,Q108876884
4467704,Q1002115,P131,Q6548909
4467704,Q1002115,P1376,Q1198505
4467704,Q1002115,P159,Q1929359
4467704,Q1002115,P159,Q30255584
4467704,Q1002115,P17,Q145
4467704,Q1002115,P19,Q7791815
4467704,Q1002115,P19,Q5235531
4467704,Q1002115,P19,Q6758242
4467704,Q1002115,P19,Q4973807
4467704,Q1002115,P19,Q5543965
4467704,Q1002115,P20,Q84939096
4467704,Q1002115,P20,Q106369324
4467704,Q1002115,P276,Q126712367
4467704,Q1002115,P276,Q126701302
4467704,Q1002115,P276,Q126712333
4467704,Q1002115,P276,Q126712338
4467704,Q1002115,P276,Q126710702
4467704,Q1002115,P301,Q8590991
4467704,Q1002115,P31,Q18511725
4467704,Q1002115,P36,Q1198505
4467704,Q1002115,P421,Q6574
4467704,Q1002115,P7959,Q192208
4467704,Q1002115,P910,Q8590991
2825748,Q1003279,P131,Q48862426
2825748,Q1003279,P131,Q976219
2825748,Q1003279,P131,Q18426457
2825748,Q1003279,P131,Q30173263
2825748,Q1003279,P131,Q9386623
2825748,Q1003279,P1376,Q976219
2825748,Q1003279,P159,Q99971459
2825748,Q1003279,P17,Q36
2825748,Q1003279,P1889,Q976219
2825748,Q1003279,P19,Q18167708
2825748,Q1003279,P19,Q6320478
2825748,Q1003279,P19,Q15941899
2825748,Q1003279,P19,Q20900683
2825748,Q1003279,P19,Q115830768
2825748,Q1003279,P190,Q225334
2825748,Q1003279,P20,Q95111049
2825748,Q1003279,P20,Q7442470
2825748,Q1003279,P20,Q9263134
2825748,Q1003279,P20,Q18590914
2825748,Q1003279,P301,Q9454652
2825748,Q1003279,P31,Q515
2825748,Q1003279,P36,Q976219
2825748,Q1003279,P36,Q9277201
2825748,Q1003279,P421,Q6655
2825748,Q1003279,P421,Q6723
2825748,Q1003279,P551,Q27625591
2825748,Q1003279,P910,Q9454652
2907404,Q1004534,P131,Q5262508
2907404,Q1004534,P131,Q4823323
2907404,Q1004534,P131,Q109392122
2907404,Q1004534,P131,Q4822948
2907404,Q1004534,P131,Q4823138
2907404,Q1004534,P138,Q6050081
2907404,Q1004534,P138,Q124040129
2907404,Q1004534,P150,Q79846
